klacht,beschrijving
Acne,"Ontstekingen van de huid door verstopte talgklieren, vaak zichtbaar als puistjes of mee-eters."
Aderverkalking,"Ophoping van vetten en kalk in de vaatwanden waardoor bloedvaten vernauwen, verhoogt risico op hart- en vaatziekten."
ADHD,"Aandachtstekortstoornis met hyperactiviteit; gekenmerkt door impulsiviteit, onrust en concentratieproblemen."
Afkicken,"Het proces van het stoppen met verslavende middelen, waarbij ontwenningsverschijnselen optreden."
Afslanken,"Het streven naar gewichtsverlies door voeding, beweging of supplementen, vaak met als doel een betere gezondheid."
Aften,"Kleine, pijnlijke zweertjes in het mondslijmvlies, vaak terugkerend en meestal goedaardig."
Allergie,"Overgevoeligheidsreactie van het immuunsysteem op een onschadelijke stof zoals pollen, voeding of huisstof."
Alcoholmisbruik,"Overmatig alcoholgebruik met negatieve gevolgen voor lichaam, geest en sociale omgeving."
Amandelontsteking,"Ontsteking van de keelamandelen, vaak veroorzaakt door virussen of bacteriën, met keelpijn en slikklachten."
Anti-veroudering,Behandeling of leefstijl gericht op het vertragen van lichamelijke en mentale verouderingsprocessen.
Anemie,"Verminderde hoeveelheid rode bloedcellen of hemoglobine, wat leidt tot vermoeidheid, duizeligheid en bleke huid."
Angst,"Gevoel van onrust, spanning of paniek zonder directe oorzaak. Kan gepaard gaan met hartkloppingen, zweten en ademhalingsproblemen."
Anorexia,"Een eetstoornis waarbij iemand extreem weinig eet uit angst om aan te komen, met ernstige gevolgen voor gezondheid en psyche."
Artritis,"Ontstekingsziekte van de gewrichten die zwelling, pijn en stijfheid veroorzaakt. Vaak chronisch van aard."
Artrose,"Slijtage van het kraakbeen in gewrichten, waardoor pijn en verminderde beweeglijkheid ontstaan."
Astma,"Chronische ontsteking van de luchtwegen die leidt tot benauwdheid, hoesten en piepende ademhaling."
Baarmoederverzakking,Aandoening waarbij de baarmoeder naar beneden zakt in de vagina door verzwakte bekkenbodemspieren.
Bedplassen,"Onvrijwillig urineren tijdens de slaap, meestal bij kinderen, maar soms ook bij volwassenen."
Bekkenbodeminstabiliteit,"Verzwakking of disfunctie van de bekkenbodemspieren, wat kan leiden tot urineverlies, rugpijn of verzakkingen."
Bindweefselzwakte,"Erfelijke of verworven verzwakking van het bindweefsel, zichtbaar als bijvoorbeeld spataderen of slappe huid."
Bijholte ontsteking,"Ontsteking van de sinussen, vaak door een verkoudheid, met symptomen als hoofdpijn, druk op het gezicht en verstopte neus."
Blaasontsteking,"Infectie van de blaas, meestal veroorzaakt door bacteriën, met symptomen als branderig gevoel bij het plassen en frequente aandrang."
Bloedarmoede,"(Synoniem van anemie) Een tekort aan gezonde rode bloedcellen, waardoor minder zuurstof in het lichaam wordt getransporteerd."
Bloedsuiker (verlaagd),"Een toestand van hypoglykemie waarbij het bloedsuikerniveau te laag is, wat kan leiden tot duizeligheid, beven en vermoeidheid."
Bloedsuiker (regulerend),"Verwijst naar ondersteuning van een stabiele bloedsuikerspiegel, met name belangrijk bij diabetespatiënten."
Bloeddruk (regulerend),"Ondersteunen van een gezonde bloeddruk, zowel bij verhoogde als verlaagde bloeddruk."
Bloeddruk (verhoogd),"Hypertensie; verhoogde druk in de bloedvaten, wat het risico op hart- en vaatziekten vergroot."
Bloedend tandvlees,"Vaak een symptoom van tandvleesontsteking (gingivitis) of vitaminegebrek, zoals vitamine C."
Bloedzuiverend,"Algemene term voor processen die afvalstoffen uit het bloed helpen verwijderen, vaak gekoppeld aan lever- en nierfunctie."
Bodybuilding,Spierversterkende activiteit waarbij vaak supplementen of kruiden gebruikt worden ter ondersteuning van spiergroei en herstel.
Borstontsteking (preventief),Maatregelen of middelen die helpen ontstekingen in het borstweefsel bij borstvoeding te voorkomen.
Borstvergroting,Natuurlijke ondersteuning of stimulatie van borstgroei door kruiden of hormonale balans.
Borstvoeding (onvoldoende),Probleem waarbij een moeder onvoldoende melk produceert; soms te ondersteunen met galactogogen.
Borstvoeding (afbouwen),"Het geleidelijk verminderen van borstvoeding, vaak ondersteund met kruiden die de melkproductie remmen."
Borstvoeding (stoppen),"Het volledig beëindigen van borstvoeding, waarbij bepaalde middelen kunnen helpen de melkproductie sneller te doen stoppen."
Botbreuken,"Ondersteuning van het herstel van gebroken botten, vaak met calciumrijke en weefselherstellende middelen."
Botontkalking,Ook wel osteoporose; vermindering van de botdichtheid waardoor botten broos worden en sneller breken.
Brandend maagzuur,"Terugvloed van maagzuur naar de slokdarm, wat leidt tot een branderig gevoel in de borststreek."
Branderig gevoel bij het plassen,Vaak een symptoom van een urineweginfectie of irritatie van de plasbuis.
Bronchitis,"Ontsteking van de luchtpijpvertakkingen (bronchiën), meestal veroorzaakt door virussen of bacteriën, met hoest en slijmvorming."
Buikpijn,"Algemene term voor pijn in de buikstreek, met diverse oorzaken zoals gasvorming, darmproblemen of menstruatie."
Buikvet,"Ophoping van vet rond de buikstreek, vaak gerelateerd aan slechte voeding, stress of hormonale disbalans."
Burn-out,"Een toestand van lichamelijke en geestelijke uitputting, meestal veroorzaakt door langdurige stress of overbelasting."
